,Goals,Knockout,OnTarget_%,Short_%,Succ_Ratio,Total_FKs,Short_FKs,Passes_Att,Pass_Comp%,Opp_Total_Fouls,Opp_Yellow_Cards,Cards/Fouls,OppTackles_Successful%,Opp_Aggressiveness,Opp_Total_Saves,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,bad_weather,Win_Pr(),Btts_Pr()
224,1,0,0.08695652173913042,0.3478260869565217,0.3333333333333333,41.0,0.17073170731707318,1221.0,0.7493857493857494,48.0,9.0,0.1875,0.35714285714285715,0.0,27.0,0.6136363636363636,15.0,13.0,0.0,0,0.4,0.3389830508474576
225,3,0,0.3225806451612903,0.41935483870967744,0.0,58.0,0.2413793103448276,2063.0,0.8405235094522541,36.0,3.0,0.1111111111111111,0.5454545454545454,0.0,10.0,0.5,5.0,12.0,0.0,0,0.2531645569620253,0.3389830508474576
226,2,0,0.3333333333333333,0.6410256410256411,0.14285714285714285,36.0,0.3333333333333333,2030.0,0.8694581280788177,38.0,6.0,0.18421052631578946,0.4074074074074074,0.0,14.0,0.5185185185185185,8.0,12.0,0.0,0,0.2617801047120419,0.38167938931297707
227,0,0,0.35,0.3,0.0,56.0,0.2857142857142857,1826.0,0.8209200438116101,56.0,5.0,0.08928571428571429,0.4666666666666667,0.0,17.0,0.5862068965517241,8.0,11.0,0.0,0,0.25,0.37453183520599254
228,0,0,0.2631578947368421,0.4473684210526316,0.27586206896551724,52.0,0.2692307692307692,2099.0,0.8489757027155789,46.0,7.0,0.17391304347826084,0.6,0.0,26.0,0.7428571428571429,18.0,17.0,0.0,0,0.1111111111111111,0.3436426116838488
229,3,0,0.27586206896551724,0.3448275862068966,0.375,54.0,0.16666666666666666,1510.0,0.7907284768211921,51.0,7.0,0.13725490196078433,0.3333333333333333,0.0,20.0,0.5405405405405406,7.0,20.0,0.0,0,0.2577319587628866,0.3663003663003663
230,2,0,0.21052631578947367,0.631578947368421,0.0,32.0,0.09375,1638.0,0.7991452991452992,33.0,7.0,0.24242424242424246,0.3157894736842105,0.0,11.0,0.5238095238095238,4.0,8.0,0.0,1,0.4504504504504505,0.3663003663003663
231,1,0,0.2380952380952381,0.2380952380952381,0.6153846153846154,33.0,0.2727272727272727,1650.0,0.8315151515151515,33.0,4.0,0.15151515151515152,0.4838709677419355,0.0,13.0,0.7647058823529411,6.0,13.0,0.0,0,0.36363636363636365,0.3846153846153846
232,2,0,0.5,0.5714285714285714,0.0,33.0,0.18181818181818185,1387.0,0.7144917087238645,37.0,5.0,0.13513513513513514,0.2727272727272727,0.0,16.0,0.6153846153846154,7.0,6.0,0.0,0,0.4444444444444444,0.2958579881656805
233,0,0,0.25,0.4545454545454545,0.15384615384615385,34.0,0.2058823529411765,2020.0,0.8118811881188119,23.0,4.0,0.17391304347826084,0.2857142857142857,0.0,23.0,0.5348837209302325,10.0,14.0,0.0,0,0.09523809523809523,0.09523809523809523
