,AwayScore,BreakTimeDuration,ConsolidationStatus,EffectiveDuration,EffectiveInjuryTime,EndTimeUTC,HomeScore,IndexInMatch,IndexInType,InjuryTime,LeftTeamID,MatchID,MatchPhaseGuid,RegularDuration,StartTimeUTC,Status,Type
313,1,00:16:26.2660000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:51.4010000,00:03:51.4010000,2017-09-27T20:38:10.903Z,0,2,2,00:03:00,50149,2021617,dbb428f8-368c-499b-905a-f43d4c2b5f30,00:45:00,2017-09-27T19:49:19.502Z,"['Current', 'Completed']",Regular
314,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:03.0160000,00:01:03.0160000,2017-09-27T19:31:25.943Z,0,1,1,00:01:00,50139,2021618,e9f8f2ef-ccdc-4964-a047-1b9126bcf04e,00:45:00,2017-09-27T18:45:22.927Z,['Completed'],Regular
315,0,00:15:05.6300000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:07.6840000,00:04:07.6840000,2017-09-27T20:35:39.257Z,2,2,2,00:04:00,2610,2021618,2e254646-f06a-4411-81d0-e27ac01d7b16,00:45:00,2017-09-27T19:46:31.573Z,"['Current', 'Completed']",Regular
316,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:03.7470000,00:03:03.7470000,2017-10-17T19:34:58.744Z,1,1,1,00:02:00,52714,2021619,f7f07e54-8364-454a-976b-1173d67d45d1,00:45:00,2017-10-17T18:46:54.997Z,['Completed'],Regular
317,1,00:15:04.3020000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:59.2050000,00:02:59.2050000,2017-10-17T20:38:02.251Z,5,2,2,00:03:00,50068,2021619,175e3d5b-1383-4fb1-98dc-553b80dd4842,00:45:00,2017-10-17T19:50:03.046Z,"['Current', 'Completed']",Regular
318,4,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:05.3910000,00:00:05.3910000,2017-10-17T19:30:21.767Z,0,1,1,,7889,2021620,2ca5bb29-07e9-4d6a-a745-e4c37d379903,00:45:00,2017-10-17T18:45:16.376Z,['Completed'],Regular
319,7,00:15:04.3160000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:01.4090000,00:02:01.4090000,2017-10-17T20:32:27.492Z,0,2,2,00:02:00,57490,2021620,25cffd1e-69e4-4417-b454-fa0e4f098ea5,00:45:00,2017-10-17T19:45:26.083Z,"['Current', 'Completed']",Regular
320,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:04.5580000,00:00:04.5580000,2017-10-17T19:32:22.758Z,2,1,1,,52919,2021621,73ad8187-0dab-4a1f-b869-0fcb60018fc8,00:45:00,2017-10-17T18:47:18.2Z,['Completed'],Regular
321,1,00:15:48.8960000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:59.8050000,00:04:59.8050000,2017-10-17T20:38:11.459Z,2,2,2,00:05:00,50136,2021621,a9ad20e7-b77b-430f-996e-e6e0db5cfcc0,00:45:00,2017-10-17T19:48:11.654Z,"['Current', 'Completed']",Regular
322,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:18,00:00:18,2017-10-17T19:31:18.647Z,1,1,1,,52749,2021622,2f47eeb6-393a-41ec-9def-0253551b2202,00:45:00,2017-10-17T18:46:00.647Z,['Completed'],Regular
323,2,00:16:48.3540000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:25.2670000,00:03:25.2670000,2017-10-17T20:36:32.033Z,1,2,2,00:03:00,52707,2021622,4140c0c4-6272-4f13-8d4b-8379afcac3bc,00:45:00,2017-10-17T19:48:06.766Z,"['Current', 'Completed']",Regular
324,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:59.1950000,00:00:59.1950000,2017-10-17T19:32:18.384Z,1,1,1,00:01:00,50157,2021623,2fe3957e-8685-44ec-8c5f-e0bcafb2a720,00:45:00,2017-10-17T18:46:19.189Z,['Completed'],Regular
325,2,00:16:17.4940000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:02.3140000,00:04:02.3140000,2017-10-17T20:37:38.192Z,1,2,2,00:04:00,50023,2021623,ccb8718e-9e97-4e88-be2d-3c9289312ac3,00:45:00,2017-10-17T19:48:35.878Z,"['Current', 'Completed']",Regular
326,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:02.4040000,00:00:02.4040000,2017-10-17T19:33:06.022Z,3,1,1,,2603790,2021624,d47eaf47-4230-4ff2-99db-4204765ff13d,00:45:00,2017-10-17T18:48:03.618Z,['Completed'],Regular
327,2,00:17:17.8060000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:17.4560000,00:03:17.4560000,2017-10-17T20:38:51.114Z,3,2,2,00:03:00,50064,2021624,97527865-ce5e-4c45-98e1-09bff3bafe91,00:45:00,2017-10-17T19:50:33.658Z,"['Current', 'Completed']",Regular
328,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:02.6890000,00:04:02.6890000,2017-10-17T19:34:40.552Z,0,1,1,00:04:00,50118,2021625,4e12b5be-e342-40ef-a5fc-72a58ab30b5d,00:45:00,2017-10-17T18:45:37.863Z,['Completed'],Regular
329,1,00:15:22.5490000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:05.2240000,00:03:05.2240000,2017-10-17T20:38:08.325Z,1,2,2,00:03:00,52758,2021625,e075d8ab-b443-4028-93b3-d06fddfcbc4d,00:45:00,2017-10-17T19:50:03.101Z,"['Current', 'Completed']",Regular
330,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:03.9010000,00:00:03.9010000,2017-10-17T19:31:58.825Z,1,1,1,,50051,2021626,be79135f-e049-4444-8288-55cf0526fdb5,00:45:00,2017-10-17T18:46:54.924Z,['Completed'],Regular
331,1,00:16:20.6740000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:07.5110000,00:03:07.5110000,2017-10-17T20:36:27.01Z,1,2,2,00:03:00,1652,2021626,072e9579-40bd-4dc2-a2e1-211b76d68a15,00:45:00,2017-10-17T19:48:19.499Z,"['Current', 'Completed']",Regular
332,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:33.5070000,00:00:33.5070000,2017-10-18T19:30:39.364Z,0,1,1,,54266,2021627,69756038-1087-4506-bb39-18d251b32f9e,00:45:00,2017-10-18T18:45:05.857Z,['Completed'],Regular
333,2,00:15:30.7770000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:15.7950000,00:03:15.7950000,2017-10-18T20:34:25.936Z,0,2,2,00:03:00,59856,2021627,8414b839-2d18-4d45-b626-8597be6b3080,00:45:00,2017-10-18T19:46:10.141Z,"['Current', 'Completed']",Regular
334,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:01.7280000,00:01:01.7280000,2017-10-18T19:32:55.991Z,0,1,1,00:01:00,52682,2021628,7195c202-8395-447f-ab4a-73ab06c319f3,00:45:00,2017-10-18T18:46:54.263Z,['Completed'],Regular
335,1,00:16:20.8270000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:50:27.3210000,00:05:27.3210000,2017-10-18T20:39:44.139Z,0,2,2,00:04:00,50147,2021628,5f3faff4-1a46-471f-9edb-86cd31992e26,00:45:00,2017-10-18T19:49:16.818Z,"['Current', 'Completed']",Regular
336,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:03.9480000,00:02:03.9480000,2017-10-18T19:32:35.153Z,0,1,1,00:02:00,50074,2021629,8e614ea7-8d3c-4a7f-80d9-2ff9deaa376b,00:45:00,2017-10-18T18:45:31.205Z,['Completed'],Regular
337,4,00:15:05.8490000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:19.5020000,00:03:19.5020000,2017-10-18T20:36:00.504Z,0,2,2,00:03:00,52747,2021629,ad0e05b5-45f3-46a4-acd7-d87933df00bc,00:45:00,2017-10-18T19:47:41.002Z,"['Current', 'Completed']",Regular
338,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:11.0270000,00:00:11.0270000,2017-10-18T19:31:05.131Z,2,1,1,,50050,2021630,9a4afcf5-dd54-4add-a62c-6d638b49e26b,00:45:00,2017-10-18T18:45:54.104Z,['Completed'],Regular
339,0,00:16:41.0190000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:19.6350000,00:03:19.6350000,2017-10-18T20:36:05.785Z,3,2,2,00:03:00,50037,2021630,29bdfd96-a9e4-4d1e-97c8-7d12745220d5,00:45:00,2017-10-18T19:47:46.15Z,"['Current', 'Completed']",Regular
340,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:04.2150000,00:00:04.2150000,2017-10-18T16:47:37.145Z,0,1,1,,50124,2021631,6ff4f4c0-933d-441d-95e7-4ffecd33f993,00:45:00,2017-10-18T16:02:32.93Z,['Completed'],Regular
341,0,00:15:47.1970000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:50:00.2850000,00:05:00.2850000,2017-10-18T17:53:24.627Z,0,2,2,00:03:00,60609,2021631,96cbffad-d853-4657-8d60-1b6561943e36,00:45:00,2017-10-18T17:03:24.342Z,"['Current', 'Completed']",Regular
342,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:04.9440000,00:01:04.9440000,2017-10-18T19:32:06.096Z,2,1,1,00:01:00,50137,2021632,7d6aae29-57a8-4199-b6e5-3a0b206cbb4a,00:45:00,2017-10-18T18:46:01.152Z,['Completed'],Regular
343,3,00:15:33.3130000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:07.4150000,00:04:07.4150000,2017-10-18T20:36:46.824Z,3,2,2,00:04:00,52914,2021632,d5c1272b-0091-4538-8904-2539f2929758,00:45:00,2017-10-18T19:47:39.409Z,"['Current', 'Completed']",Regular
344,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:04.0290000,00:01:04.0290000,2017-10-18T19:32:18.559Z,1,1,1,00:01:00,50139,2021633,69e904f6-464c-4a39-a07a-215637fbe57e,00:45:00,2017-10-18T18:46:14.53Z,['Completed'],Regular
345,1,00:16:56.1490000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:27.4950000,00:03:27.4950000,2017-10-18T20:37:42.203Z,2,2,2,00:03:00,50149,2021633,67b81103-79ab-4442-b370-36579f44634e,00:45:00,2017-10-18T19:49:14.708Z,"['Current', 'Completed']",Regular
346,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:02.6310000,00:01:02.6310000,2017-10-18T19:32:22.271Z,1,1,1,00:01:00,50080,2021634,fc5d8738-fdd9-448b-8ead-88f9964f6ba8,00:45:00,2017-10-18T18:46:19.64Z,['Completed'],Regular
