,Match_ID,Team_ID,Fouls,Yellow_Cards,Red_Cards
101,2019332,50136,20,1,0
102,2019333,50147,15,1,0
103,2019333,52723,15,6,0
104,2019334,52757,10,2,1
105,2019334,50050,11,1,0
106,2019335,52919,17,2,0
107,2019335,50080,16,3,0
108,2019336,50124,8,3,0
109,2019336,64500,11,4,0
110,2019337,50062,10,0,0
111,2019337,50037,8,1,0
112,2019338,50023,8,1,0
113,2019338,54266,13,1,0
114,2019339,1652,13,0,0
115,2019339,50109,11,0,0
116,2019340,52758,6,1,0
117,2019340,50149,18,3,0
118,2019341,50146,8,0,0
119,2019341,50051,16,0,0
120,2019342,52709,3,0,0
121,2019342,53577,17,4,0
122,2019343,50064,16,2,0
123,2019343,50043,17,4,0
124,2019344,52714,10,0,0
125,2019344,50164,12,4,1
126,2019345,50139,14,4,0
127,2019345,5312,20,2,0
128,2019346,54266,14,2,0
129,2019346,50109,12,3,0
130,2019347,50023,11,2,0
131,2019347,1652,14,3,0
132,2019348,50149,16,3,1
133,2019348,50051,9,2,0
134,2019349,52758,11,1,0
135,2019349,50146,11,2,0
136,2019350,53577,5,1,0
137,2019350,50043,8,0,0
138,2019351,52709,16,3,0
139,2019351,50064,13,3,0
140,2019352,50164,9,3,0
141,2019352,5312,16,1,0
142,2019353,52714,13,4,1
143,2019353,50139,18,4,0
144,2019354,52280,11,2,0
145,2019354,52747,9,2,0
146,2019355,2603104,12,3,0
147,2019355,59856,30,4,0
148,2019356,50136,18,1,0
149,2019356,52723,15,1,0
150,2019357,50157,11,2,0
151,2019357,50147,13,2,0
152,2019358,50050,13,3,0
153,2019358,50080,12,4,0
154,2019359,52757,14,5,1
155,2019359,52919,10,2,1
156,2019360,64500,9,2,0
157,2019360,50037,8,1,0
158,2019361,50124,6,0,0
159,2019361,50062,8,0,0
160,2019362,52747,10,1,0
161,2019362,2603104,18,0,0
162,2019363,59856,9,1,0
163,2019363,52280,13,1,0
164,2019364,52723,12,1,0
165,2019364,50157,9,4,2
166,2019365,50147,15,1,0
167,2019365,50136,8,1,0
168,2019366,50080,7,0,0
169,2019366,52757,5,1,0
170,2019367,52919,7,1,0
171,2019367,50050,16,2,0
172,2019368,50037,11,0,0
173,2019368,50124,9,1,0
174,2019369,50062,12,2,0
175,2019369,64500,8,1,0
176,2019370,50109,18,1,0
177,2019370,50023,11,3,0
178,2019371,1652,7,0,0
179,2019371,54266,15,2,0
180,2019372,50051,9,2,0
181,2019372,52758,15,1,0
182,2019373,50146,14,5,0
183,2019373,50149,14,3,1
184,2019374,50043,15,1,0
185,2019374,52709,12,2,0
186,2019375,50064,8,0,0
187,2019375,53577,11,1,0
188,2019376,5312,10,2,0
189,2019376,52714,12,3,0
190,2019377,50139,9,2,0
191,2019377,50164,12,1,0
192,2019613,52919,12,4,0
193,2019613,50023,15,6,0
194,2019614,50051,9,2,0
195,2019614,50136,12,2,0
196,2019615,52747,14,1,0
197,2019615,50080,11,3,0
198,2019616,52714,6,2,0
199,2019616,53577,9,0,0
200,2019617,50147,15,1,0
201,2019617,52758,10,3,0
202,2019618,50037,12,2,0
203,2019618,52280,11,3,0
204,2019619,50064,12,5,1
205,2019619,50139,13,1,0
206,2019620,50109,14,4,0
207,2019620,50124,9,3,0
208,2019621,50080,16,5,0
209,2019621,52747,25,5,0
210,2019622,53577,10,4,0
211,2019622,52714,10,3,1
212,2019623,50023,12,3,0
213,2019623,52919,13,3,0
214,2019624,50136,17,2,0
215,2019624,50051,8,0,0
216,2019625,50139,13,1,0
217,2019625,50064,11,2,1
218,2019626,50124,6,2,0
219,2019626,50109,8,2,0
220,2019627,52758,13,3,0
221,2019627,50147,17,1,0
222,2019628,52280,13,3,1
223,2019628,50037,10,2,0
224,2019629,50124,10,0,0
225,2019629,53577,16,3,0
226,2019630,52758,9,2,0
227,2019630,50023,9,5,0
228,2019631,50037,11,4,1
229,2019631,50051,7,2,0
230,2019632,50139,21,4,0
231,2019632,50080,18,3,0
232,2019633,50051,7,1,0
233,2019633,50037,22,5,1
234,2019634,50080,10,2,0
235,2019634,50139,19,2,0
236,2019635,53577,9,0,0
237,2019635,50124,7,0,0
238,2019636,50023,15,0,0
239,2019636,52758,8,0,0
240,2019637,50023,11,1,0
241,2019637,50139,13,3,0
242,2019638,50051,10,1,0
243,2019638,50124,15,3,0
244,2019639,50124,23,4,0
245,2019639,50051,7,2,0
246,2019640,50139,11,2,0
247,2019640,50023,21,2,0
248,2019641,50139,23,5,1
249,2019641,50051,18,4,0
250,2021587,50147,7,2,0
251,2021587,54266,14,3,0
252,2021588,52682,12,2,0
253,2021588,59856,14,3,0
254,2021589,50037,10,2,0
255,2021589,50074,5,2,1
256,2021590,50050,5,2,0
257,2021590,52747,4,1,0
258,2021591,52914,10,1,0
259,2021591,60609,9,0,0
260,2021592,50137,9,1,0
261,2021592,50124,14,0,0
262,2021593,50080,9,2,0
263,2021593,50139,15,4,0
264,2021594,2610,12,3,0
265,2021594,50149,17,3,0
266,2021595,57490,6,0,0
267,2021595,50068,14,1,0
268,2021596,7889,14,3,1
269,2021596,52714,9,3,0
270,2021597,52749,13,4,0
271,2021597,52919,9,1,0
272,2021598,52707,11,2,0
273,2021598,50136,16,3,0
274,2021599,2603790,10,2,0
275,2021599,50023,20,3,0
276,2021600,50064,15,2,0
277,2021600,50157,10,1,0
278,2021601,50051,12,1,0
279,2021601,50118,10,3,0
280,2021602,1652,15,3,1
281,2021602,52758,6,2,0
282,2021603,52714,9,1,0
283,2021603,57490,14,0,0
284,2021604,50068,12,1,0
285,2021604,7889,11,2,0
286,2021605,50136,12,2,0
287,2021605,52749,15,3,0
288,2021606,52919,11,0,0
289,2021606,52707,6,1,0
290,2021607,50157,7,2,0
291,2021607,2603790,17,2,0
292,2021608,50023,13,3,0
293,2021608,50064,16,4,0
294,2021609,52758,8,2,0
295,2021609,50051,8,3,0
296,2021610,50118,9,2,0
297,2021610,1652,10,1,0
298,2021611,59856,14,3,0
299,2021611,50147,8,2,1
300,2021612,54266,10,3,0
301,2021612,52682,5,0,0
302,2021613,52747,10,1,0
303,2021613,50037,18,4,0
304,2021614,50074,10,0,0
305,2021614,50050,14,0,0
306,2021615,50124,14,2,0
307,2021615,52914,12,1,0
308,2021616,60609,21,2,0
309,2021616,50137,8,1,0
310,2021617,50149,19,6,0
311,2021617,50080,12,2,0
312,2021618,50139,14,0,0
313,2021618,2610,13,0,0
314,2021619,50068,7,2,0
315,2021619,52714,10,2,0
316,2021620,57490,10,3,0
317,2021620,7889,11,0,0
318,2021621,52919,14,3,0
319,2021621,50136,8,2,0
320,2021622,52749,14,2,0
321,2021622,52707,14,5,1
322,2021623,50023,14,1,0
323,2021623,50157,12,2,0
324,2021624,2603790,8,1,0
325,2021624,50064,14,2,0
326,2021625,50118,14,3,0
327,2021625,52758,12,3,0
328,2021626,50051,12,1,0
329,2021626,1652,16,1,0
330,2021627,54266,12,1,0
331,2021627,59856,20,0,0
332,2021628,50147,10,3,1
333,2021628,52682,12,2,0
334,2021629,50074,16,2,0
335,2021629,52747,7,2,0
336,2021630,50037,6,0,0
337,2021630,50050,4,1,0
338,2021631,60609,15,4,1
339,2021631,50124,10,0,0
340,2021632,52914,8,1,0
341,2021632,50137,7,0,0
342,2021633,50139,18,2,0
343,2021633,50149,17,2,0
344,2021634,50080,7,2,1
345,2021634,2610,13,3,0
346,2021635,59856,11,2,0
347,2021635,54266,14,2,0
348,2021636,52682,13,2,0
349,2021636,50147,11,3,0
350,2021637,52747,13,0,0
351,2021637,50074,9,0,0
352,2021638,50050,11,0,0
353,2021638,50037,9,0,0
354,2021639,50124,15,3,1
355,2021639,60609,13,2,1
356,2021640,50137,5,0,0
357,2021640,52914,8,0,0
358,2021641,50149,16,3,0
359,2021641,50139,8,2,0
360,2021642,2610,9,3,0
361,2021642,50080,9,2,0
362,2021643,52714,8,1,0
363,2021643,50068,11,3,0
364,2021644,7889,7,0,0
365,2021644,57490,9,2,0
366,2021645,50136,8,2,0
367,2021645,52919,12,1,0
368,2021646,52707,12,1,0
369,2021646,52749,15,2,0
370,2021647,50157,16,4,0
371,2021647,50023,17,3,0
372,2021648,50064,19,1,0
373,2021648,2603790,22,3,0
374,2021649,52758,8,0,0
375,2021649,50118,14,3,0
376,2021650,1652,14,1,0
377,2021650,50051,6,1,0
378,2021651,50068,12,3,0
379,2021651,57490,13,1,0
380,2021652,52714,10,2,0
381,2021652,7889,19,3,0
382,2021653,52919,11,3,0
383,2021653,52749,15,3,0
384,2021654,50136,12,3,0
385,2021654,52707,11,2,0
386,2021655,50023,12,4,0
387,2021655,2603790,18,1,0
388,2021656,50157,14,2,0
389,2021656,50064,19,2,0
390,2021657,50118,8,0,0
391,2021657,50051,11,1,0
392,2021658,52758,11,2,0
393,2021658,1652,8,0,0
394,2021659,54266,18,3,0
395,2021659,50147,14,2,0
396,2021660,59856,7,0,0
397,2021660,52682,14,1,0
398,2021661,50074,17,2,0
399,2021661,50037,7,3,0
400,2021662,52747,9,0,0
401,2021662,50050,7,2,0
402,2021663,60609,5,2,1
403,2021663,52914,12,1,0
404,2021664,50124,15,1,0
405,2021664,50137,14,3,1
406,2021665,50139,12,2,0
407,2021665,50080,12,3,0
408,2021666,50149,13,4,0
409,2021666,2610,23,3,0
410,2021667,50147,15,1,0
411,2021667,59856,14,3,0
412,2021668,52682,11,1,0
413,2021668,54266,11,1,0
414,2021669,50037,18,4,0
415,2021669,52747,12,2,0
416,2021670,50050,10,1,0
417,2021670,50074,12,0,0
418,2021671,52914,10,1,0
419,2021671,50124,12,1,0
420,2021672,50137,4,1,0
421,2021672,60609,9,4,0
422,2021673,50080,12,1,0
423,2021673,50149,13,1,0
424,2021674,2610,17,3,0
425,2021674,50139,15,1,0
426,2021675,57490,9,3,0
427,2021675,52714,7,0,0
428,2021676,7889,16,1,0
429,2021676,50068,11,2,0
430,2021677,52749,18,3,1
431,2021677,50136,14,1,0
432,2021678,52707,9,1,0
433,2021678,52919,10,2,0
434,2021679,2603790,12,2,1
435,2021679,50157,11,4,0
436,2021680,50064,6,1,1
437,2021680,50023,11,0,1
438,2021681,50051,3,0,0
439,2021681,52758,8,1,0
440,2021682,1652,20,2,0
441,2021682,50118,8,2,0
442,2021683,50139,16,3,0
443,2021683,1652,13,2,0
444,2021684,59856,9,2,0
445,2021684,52919,5,2,0
446,2021685,52914,17,2,0
447,2021685,50080,13,3,0
448,2021686,50037,16,1,0
449,2021686,50157,14,3,1
450,2021687,50064,9,0,0
451,2021687,7889,10,0,0
452,2021688,52714,12,1,0
453,2021688,52682,22,1,0
454,2021689,50051,14,2,0
455,2021689,52747,16,4,0
456,2021690,52707,11,2,0
457,2021690,50137,9,1,0
458,2021691,50080,11,1,0
459,2021691,52914,17,3,0
460,2021692,50157,18,2,0
461,2021692,50037,13,3,0
462,2021693,1652,20,3,0
463,2021693,50139,12,4,0
464,2021694,52919,5,1,0
465,2021694,59856,12,1,0
466,2021695,52747,10,3,1
467,2021695,50051,12,2,0
468,2021696,50137,14,2,0
469,2021696,52707,11,3,1
470,2021697,7889,11,1,0
471,2021697,50064,13,2,0
472,2021698,52682,9,1,0
473,2021698,52714,10,4,0
474,2021699,50080,8,0,0
475,2021699,50137,8,2,0
476,2021700,52714,12,2,0
477,2021700,50037,9,3,0
478,2021701,50139,14,3,1
479,2021701,50051,16,2,0
480,2021702,7889,6,1,0
481,2021702,52919,10,4,0
482,2021703,50051,8,3,0
483,2021703,50139,20,6,1
484,2021704,52919,5,2,0
485,2021704,7889,7,4,0
486,2021705,50137,19,2,0
487,2021705,50080,10,3,0
488,2021706,50037,13,1,0
489,2021706,52714,12,3,1
490,2021707,7889,13,3,0
491,2021707,50137,7,2,0
492,2021708,50037,8,2,0
493,2021708,50051,14,1,0
494,2021709,50051,10,4,0
495,2021709,50037,10,0,0
496,2021710,50137,10,2,0
497,2021710,7889,14,3,0
498,2021711,50051,5,0,0
499,2021711,7889,18,1,0
500,2025053,50043,10,0,0
501,2025053,52758,5,2,0
502,2025054,50023,12,3,0
503,2025054,50124,13,2,0
504,2025055,50080,10,2,1
505,2025055,50062,12,2,0
506,2025056,50138,12,2,0
507,2025056,1652,15,3,0
508,2025057,7889,14,1,0
509,2025057,52747,11,1,0
510,2025058,50069,8,2,0
511,2025058,50136,14,4,0
512,2025059,50067,12,3,1
513,2025059,53065,16,4,0
514,2025060,57388,13,2,0
515,2025060,50064,16,2,0
516,2025061,50143,13,3,0
517,2025061,50129,12,2,0
518,2025062,50147,9,2,0
519,2025062,50037,8,2,0
520,2025063,52707,9,3,0
521,2025063,2600431,10,1,0
522,2025064,52919,14,1,0
523,2025064,5312,12,2,0
524,2025065,50051,7,1,0
525,2025065,50137,4,2,0
526,2025066,64388,17,4,0
527,2025066,54266,16,5,0
528,2025067,50031,12,1,0
529,2025067,52682,7,1,0
530,2025068,52268,14,3,0
531,2025068,50139,10,3,1
532,2025069,50037,12,3,0
533,2025069,50143,17,2,0
534,2025070,50129,13,2,0
535,2025070,50147,9,4,1
536,2025071,5312,11,1,0
537,2025071,52707,16,0,0
538,2025072,2600431,12,1,0
539,2025072,52919,16,4,0
540,2025073,54266,13,4,1
541,2025073,50051,6,0,0
542,2025074,50137,12,1,0
543,2025074,64388,7,1,0
544,2025075,50139,8,0,0
545,2025075,50031,14,4,1
546,2025076,52682,16,1,0
547,2025076,52268,15,6,0
548,2025077,50124,7,2,0
549,2025077,50043,7,2,0
550,2025078,52758,8,0,0
551,2025078,50023,8,0,0
552,2025079,1652,18,5,0
553,2025079,50080,10,2,0
554,2025080,50062,12,0,0
555,2025080,50138,13,3,0
556,2025081,50136,12,1,0
557,2025081,7889,9,1,0
558,2025082,52747,10,0,0
559,2025082,50069,16,2,0
560,2025083,50064,19,3,0
561,2025083,50067,20,4,0
562,2025084,53065,15,3,0
563,2025084,57388,11,2,0
564,2025085,50129,10,0,0
565,2025085,50037,7,0,0
566,2025086,50143,20,3,0
567,2025086,50147,20,4,0
568,2025087,2600431,15,1,0
569,2025087,5312,5,1,0
570,2025088,52707,5,1,0
571,2025088,52919,15,1,0
572,2025089,50137,6,0,0
573,2025089,54266,12,2,0
574,2025090,50051,12,3,0
575,2025090,64388,10,1,0
576,2025091,52682,16,1,0
577,2025091,50139,14,2,0
578,2025092,50031,19,1,0
579,2025092,52268,18,2,0
580,2025093,52758,9,2,0
581,2025093,50124,13,5,0
582,2025094,50043,13,3,0
583,2025094,50023,8,3,0
584,2025095,50062,10,3,0
585,2025095,1652,15,1,1
586,2025096,50080,11,1,0
587,2025096,50138,22,3,0
588,2025097,52747,10,2,0
589,2025097,50136,14,5,0
590,2025098,7889,10,0,0
591,2025098,50069,20,5,0
592,2025099,53065,14,3,1
593,2025099,50064,15,2,0
594,2025100,50067,11,3,0
595,2025100,57388,15,1,0
596,2025101,50124,8,1,0
597,2025101,52758,7,3,0
598,2025102,50023,16,1,0
599,2025102,50043,13,0,0
600,2025103,1652,14,2,0
601,2025103,50062,16,2,0
602,2025104,50138,11,2,0
603,2025104,50080,9,1,0
604,2025105,50136,13,1,0
605,2025105,52747,15,4,0
606,2025106,50069,8,1,0
607,2025106,7889,9,1,0
608,2025107,50064,17,3,0
609,2025107,53065,14,1,0
610,2025108,57388,14,2,0
611,2025108,50067,16,3,0
612,2025109,50037,13,0,0
613,2025109,50129,14,3,0
614,2025110,50147,18,3,0
615,2025110,50143,14,4,0
616,2025111,5312,7,2,0
617,2025111,2600431,15,6,1
618,2025112,52919,15,0,0
619,2025112,52707,5,0,0
620,2025113,54266,14,2,1
621,2025113,50137,16,0,0
622,2025114,64388,11,0,0
623,2025114,50051,11,1,0
624,2025115,50139,15,2,0
625,2025115,52682,17,3,0
626,2025116,52268,14,3,0
627,2025116,50031,25,5,1
628,2025117,50129,18,5,1
629,2025117,50143,11,2,0
630,2025118,50037,12,2,0
631,2025118,50147,8,1,0
632,2025119,2600431,16,4,1
633,2025119,52707,11,5,0
634,2025120,5312,5,1,0
635,2025120,52919,11,2,0
636,2025121,50137,14,1,0
637,2025121,50051,11,2,0
638,2025122,54266,14,2,0
639,2025122,64388,15,3,0
640,2025123,52682,13,2,0
641,2025123,50031,19,2,0
642,2025124,50139,18,3,0
643,2025124,52268,14,5,0
644,2025125,52758,8,1,0
645,2025125,50043,5,1,0
646,2025126,50124,14,5,1
647,2025126,50023,14,2,0
648,2025127,50062,15,3,0
649,2025127,50080,11,2,0
650,2025128,1652,17,3,0
651,2025128,50138,12,2,0
652,2025129,52747,13,2,0
653,2025129,7889,20,6,0
654,2025130,50136,8,1,0
655,2025130,50069,16,3,0
656,2025131,53065,18,2,0
657,2025131,50067,12,1,0
658,2025132,50064,11,1,0
659,2025132,57388,16,2,0
660,2025133,50043,13,2,0
661,2025133,50124,8,3,0
662,2025134,50023,10,4,0
663,2025134,52758,12,2,0
664,2025135,50080,9,1,0
665,2025135,1652,19,1,0
666,2025136,50138,15,3,0
667,2025136,50062,17,4,0
668,2025137,7889,16,4,0
669,2025137,50136,6,1,0
670,2025138,50069,19,4,0
671,2025138,52747,12,2,0
672,2025139,50067,14,1,0
673,2025139,50064,16,1,0
674,2025140,57388,16,4,0
675,2025140,53065,14,3,0
676,2025141,50143,14,3,1
677,2025141,50037,15,2,1
678,2025142,50147,9,1,0
679,2025142,50129,14,3,1
680,2025143,52707,9,1,0
681,2025143,5312,12,2,0
682,2025144,52919,11,0,0
683,2025144,2600431,14,2,0
684,2025145,50051,10,1,0
685,2025145,54266,15,1,0
686,2025146,64388,14,1,0
687,2025146,50137,17,3,1
688,2025147,50031,20,3,0
689,2025147,50139,9,1,0
690,2025148,52268,6,1,0
691,2025148,52682,23,3,0
