,Match_ID,Team_ID,Saves,Saves_Short,Saves_Medium,Saves_Long
203,2019618,52280,13,3,6,3
204,2019619,50064,6,0,4,2
205,2019619,50139,0,0,0,0
206,2019620,50109,4,0,1,2
207,2019620,50124,10,2,5,3
208,2019621,50080,3,0,3,0
209,2019621,52747,7,4,3,0
210,2019622,53577,7,1,6,0
211,2019622,52714,7,2,2,2
212,2019623,50023,3,1,1,1
213,2019623,52919,4,1,1,2
214,2019624,50136,7,3,3,1
215,2019624,50051,4,1,1,2
216,2019625,50139,5,2,3,0
217,2019625,50064,7,2,3,1
218,2019626,50124,11,4,5,1
219,2019626,50109,8,3,1,3
220,2019627,52758,4,2,1,1
221,2019627,50147,2,0,2,0
222,2019628,52280,5,2,1,2
223,2019628,50037,2,1,1,0
224,2019629,50124,3,0,1,2
225,2019629,53577,6,2,4,0
226,2019630,52758,1,0,1,0
227,2019630,50023,6,3,1,2
228,2019631,50037,14,6,3,5
229,2019631,50051,5,1,2,1
230,2019632,50139,7,1,2,3
231,2019632,50080,7,4,2,0
232,2019633,50051,9,4,3,2
233,2019633,50037,13,5,6,2
234,2019634,50080,8,2,4,2
235,2019634,50139,6,2,3,1
236,2019635,53577,2,1,1,0
237,2019635,50124,12,2,10,0
238,2019636,50023,8,4,4,0
239,2019636,52758,7,2,4,1
240,2019637,50023,6,3,2,0
241,2019637,50139,11,4,3,3
242,2019638,50051,1,1,0,0
243,2019638,50124,7,2,1,3
244,2019639,50124,11,5,4,2
245,2019639,50051,8,2,1,5
246,2019640,50139,5,1,2,2
247,2019640,50023,9,3,6,0
248,2019641,50139,8,2,6,0
249,2019641,50051,7,2,5,0
250,2021587,50147,8,3,2,2
251,2021587,54266,10,4,3,2
252,2021588,52682,3,1,1,1
253,2021588,59856,9,0,6,2
254,2021589,50037,2,1,1,0
255,2021589,50074,13,2,5,3
256,2021590,50050,3,2,0,1
257,2021590,52747,6,1,4,1
258,2021591,52914,4,2,1,1
259,2021591,60609,9,2,4,1
260,2021592,50137,14,9,1,4
261,2021592,50124,4,1,3,0
262,2021593,50080,11,7,1,1
263,2021593,50139,3,1,1,1
264,2021594,2610,4,2,2,0
265,2021594,50149,6,3,2,0
266,2021595,57490,7,2,4,1
267,2021595,50068,13,3,6,3
268,2021596,7889,2,0,2,0
269,2021596,52714,11,5,2,4
270,2021597,52749,8,4,3,0
271,2021597,52919,6,1,5,0
272,2021598,52707,9,6,1,1
273,2021598,50136,6,2,4,0
274,2021599,2603790,4,1,3,0
275,2021599,50023,3,1,2,0
276,2021600,50064,3,1,1,1
277,2021600,50157,11,3,7,1
278,2021601,50051,2,1,0,1
279,2021601,50118,11,3,4,4
280,2021602,1652,5,1,3,1
281,2021602,52758,4,1,3,0
282,2021603,52714,4,2,2,0
283,2021603,57490,14,3,9,2
284,2021604,50068,10,4,6,0
285,2021604,7889,2,0,0,2
286,2021605,50136,5,5,0,0
287,2021605,52749,2,1,0,0
288,2021606,52919,4,0,4,0
289,2021606,52707,10,4,4,2
290,2021607,50157,8,2,4,1
291,2021607,2603790,3,1,1,1
292,2021608,50023,11,5,2,1
293,2021608,50064,8,2,2,1
294,2021609,52758,10,7,3,0
295,2021609,50051,10,3,6,0
296,2021610,50118,8,3,4,1
297,2021610,1652,5,2,1,2
298,2021611,59856,2,2,0,0
299,2021611,50147,4,1,3,0
300,2021612,54266,9,2,4,3
301,2021612,52682,9,2,4,3
302,2021613,52747,10,3,3,3
303,2021613,50037,3,2,0,0
304,2021614,50074,2,1,1,0
305,2021614,50050,6,2,1,1
306,2021615,50124,7,3,1,3
307,2021615,52914,5,3,1,1
308,2021616,60609,9,3,4,2
309,2021616,50137,6,1,1,4
310,2021617,50149,8,3,3,1
311,2021617,50080,8,1,4,1
312,2021618,50139,3,3,0,0
313,2021618,2610,11,4,4,2
314,2021619,50068,10,3,5,2
315,2021619,52714,3,3,0,0
316,2021620,57490,15,8,3,3
317,2021620,7889,3,2,1,0
318,2021621,52919,6,3,2,1
319,2021621,50136,10,2,4,0
320,2021622,52749,2,0,1,0
321,2021622,52707,6,3,0,1
322,2021623,50023,4,1,2,1
323,2021623,50157,7,2,1,4
324,2021624,2603790,4,2,2,0
325,2021624,50064,12,4,5,3
326,2021625,50118,6,4,2,0
327,2021625,52758,3,2,1,0
328,2021626,50051,7,2,2,3
329,2021626,1652,13,2,7,3
330,2021627,54266,7,2,3,1
331,2021627,59856,6,2,3,1
332,2021628,50147,6,0,3,3
333,2021628,52682,4,1,2,1
334,2021629,50074,3,2,1,0
335,2021629,52747,6,3,3,0
336,2021630,50037,6,1,5,0
337,2021630,50050,17,6,7,2
338,2021631,60609,4,2,0,2
339,2021631,50124,3,1,1,1
340,2021632,52914,7,5,1,1
341,2021632,50137,5,3,2,0
342,2021633,50139,2,1,1,0
