,Match_ID,Team_ID,Corners,Corner_Short,Corner_Cross,Corner_Medium,Corner_Long,Corner_Unsuccessful,Corner_Shot,Corner_OnTarget
52,2019308,50157,10,2,6,5,3,6,0,0
53,2019308,52723,4,2,3,1,1,3,0,0
54,2019309,50136,6,2,4,1,3,3,0,0
55,2019309,50147,0,0,0,0,0,0,0,0
56,2019310,52757,2,0,1,2,0,1,0,0
57,2019310,50080,5,0,5,2,3,4,0,0
58,2019311,50050,4,0,4,1,3,4,0,0
59,2019311,52919,9,2,7,2,5,7,0,0
60,2019312,50124,4,1,3,2,1,3,0,0
61,2019312,50037,6,1,3,2,3,4,0,0
62,2019313,64500,4,0,4,1,3,4,0,0
63,2019313,50062,3,0,3,0,3,3,0,0
64,2019314,54266,2,0,2,1,1,2,0,0
65,2019314,50023,8,2,5,1,4,5,0,0
66,2019315,50109,5,0,5,2,3,5,0,0
67,2019315,1652,5,0,4,2,3,4,0,0
68,2019316,50149,2,0,1,1,1,1,0,0
69,2019316,52758,4,0,3,1,3,3,0,0
70,2019317,50051,9,1,6,2,6,6,0,0
71,2019317,50146,3,0,2,2,1,2,0,0
72,2019318,53577,3,1,1,1,1,1,0,0
73,2019318,52709,7,0,7,1,6,7,0,0
74,2019319,50043,3,0,3,1,2,3,0,0
75,2019319,50064,8,5,2,4,0,2,0,0
76,2019320,50164,3,0,3,1,2,1,0,0
77,2019320,52714,5,0,5,3,2,5,0,0
78,2019321,5312,10,1,10,3,6,9,0,0
79,2019321,50139,4,0,4,2,2,4,0,0
80,2019322,52280,6,0,4,3,3,4,0,0
81,2019322,2603104,1,0,1,0,1,1,0,0
82,2019323,52747,3,1,1,1,1,1,0,0
83,2019323,59856,5,1,5,0,4,5,0,0
84,2019324,50136,17,0,14,5,12,14,0,0
85,2019324,50157,1,0,1,0,1,1,0,0
86,2019325,52723,9,0,8,3,6,8,0,0
87,2019325,50147,1,0,1,0,1,1,0,0
88,2019326,50050,4,1,4,1,2,4,0,0
89,2019326,52757,5,1,4,2,2,4,0,0
90,2019327,50080,3,1,1,0,2,1,0,0
91,2019327,52919,4,1,2,2,1,2,0,0
92,2019328,64500,0,0,0,0,0,0,0,0
93,2019328,50124,5,1,4,1,3,4,0,0
94,2019329,50037,6,2,2,3,1,2,0,0
95,2019329,50062,0,0,0,0,0,0,0,0
96,2019330,2603104,4,1,4,1,2,4,0,0
97,2019330,52280,5,0,5,3,2,5,0,0
98,2019331,59856,3,0,3,2,1,3,0,0
99,2019331,52747,10,2,10,4,4,10,0,0
100,2019332,50157,3,0,2,1,2,2,0,0
101,2019332,50136,8,0,6,4,4,6,0,0
102,2019333,50147,5,2,5,1,2,5,0,0
103,2019333,52723,6,0,6,2,4,6,0,0
104,2019334,52757,9,0,4,6,4,4,0,0
105,2019334,50050,1,1,1,0,0,1,0,0
106,2019335,52919,5,4,0,1,0,0,0,0
107,2019335,50080,7,2,5,3,2,5,0,0
108,2019336,50124,11,0,8,4,7,7,0,0
109,2019336,64500,1,0,1,0,1,1,0,0
110,2019337,50062,0,0,0,0,0,0,0,0
111,2019337,50037,7,1,6,1,5,6,0,0
112,2019338,50023,6,1,5,2,3,5,0,0
113,2019338,54266,6,0,5,2,4,5,0,0
114,2019339,1652,4,0,2,3,1,2,0,0
115,2019339,50109,5,2,4,2,1,4,0,0
116,2019340,52758,3,1,2,1,1,2,0,0
117,2019340,50149,2,0,2,1,1,2,0,0
118,2019341,50146,2,0,1,1,1,1,0,0
119,2019341,50051,7,1,6,5,1,6,0,0
120,2019342,52709,4,0,4,1,3,4,0,0
121,2019342,53577,4,3,1,1,0,1,0,0
122,2019343,50064,10,1,8,2,7,8,0,0
123,2019343,50043,4,0,4,2,2,4,0,0
124,2019344,52714,10,1,6,4,4,6,0,0
125,2019344,50164,0,0,0,0,0,0,0,0
126,2019345,50139,2,0,2,1,1,2,0,0
127,2019345,5312,4,1,3,2,1,3,0,0
128,2019346,54266,5,0,5,2,3,5,0,0
129,2019346,50109,4,1,2,3,0,2,0,0
130,2019347,50023,5,0,5,3,2,5,0,0
131,2019347,1652,7,0,6,2,5,6,0,0
132,2019348,50149,2,0,1,2,0,1,0,0
133,2019348,50051,8,0,5,2,6,5,0,0
134,2019349,52758,1,1,0,0,0,0,0,0
135,2019349,50146,1,0,1,0,1,1,0,0
136,2019350,53577,11,4,6,4,3,6,0,0
137,2019350,50043,7,0,7,3,4,7,0,0
138,2019351,52709,3,0,3,2,1,3,0,0
139,2019351,50064,5,4,0,1,0,0,0,0
140,2019352,50164,1,0,1,0,1,1,0,0
141,2019352,5312,5,0,4,2,3,4,0,0
142,2019353,52714,5,1,4,2,2,4,0,0
143,2019353,50139,5,2,3,1,2,3,0,0
144,2019354,52280,3,1,2,0,2,2,0,0
145,2019354,52747,6,0,4,1,5,4,0,0
146,2019355,2603104,3,0,3,1,2,3,0,0
147,2019355,59856,5,0,5,2,3,5,0,0
148,2019356,50136,17,4,13,2,11,13,0,0
149,2019356,52723,2,0,2,0,2,2,0,0
150,2019357,50157,5,0,4,1,4,4,0,0
151,2019357,50147,2,0,2,0,2,2,0,0
152,2019358,50050,1,0,1,1,0,1,0,0
153,2019358,50080,5,0,5,3,2,5,0,0
154,2019359,52757,2,1,1,0,1,1,0,0
155,2019359,52919,9,1,8,4,4,7,0,0
156,2019360,64500,3,1,2,1,1,2,0,0
157,2019360,50037,7,0,7,6,1,7,0,0
158,2019361,50124,9,2,7,3,4,7,0,0
159,2019361,50062,2,1,0,1,0,0,0,0
160,2019362,52747,19,0,17,7,11,17,0,0
161,2019362,2603104,3,0,3,0,3,3,0,0
162,2019363,59856,7,0,5,3,4,5,0,0
163,2019363,52280,2,0,2,2,0,2,0,0
164,2019364,52723,1,0,0,1,0,0,0,0
165,2019364,50157,3,0,3,0,3,2,0,0
166,2019365,50147,7,1,5,2,4,5,0,0
167,2019365,50136,2,1,1,1,0,1,0,0
168,2019366,50080,5,1,4,0,4,3,0,0
169,2019366,52757,2,0,2,1,1,1,0,0
170,2019367,52919,8,0,7,5,3,7,0,0
171,2019367,50050,6,0,5,2,4,5,0,0
172,2019368,50037,6,1,2,3,2,2,0,0
173,2019368,50124,1,0,1,0,1,1,0,0
174,2019369,50062,6,1,6,4,1,6,0,0
175,2019369,64500,1,0,1,1,0,1,0,0
176,2019370,50109,7,0,7,5,2,7,0,0
177,2019370,50023,5,1,3,3,1,3,0,0
178,2019371,1652,11,0,8,6,5,8,0,0
179,2019371,54266,1,0,1,0,1,1,0,0
180,2019372,50051,6,1,5,2,3,5,0,0
181,2019372,52758,5,1,3,2,2,3,0,0
182,2019373,50146,2,1,0,0,1,0,0,0
183,2019373,50149,7,0,6,2,5,6,0,0
184,2019374,50043,6,0,3,4,2,3,0,0
185,2019374,52709,4,0,4,2,2,4,0,0
186,2019375,50064,4,0,3,1,3,2,0,0
187,2019375,53577,1,0,1,0,1,1,0,0
188,2019376,5312,8,0,8,3,5,8,0,0
189,2019376,52714,3,0,3,1,2,3,0,0
190,2019377,50139,7,0,4,5,2,4,0,0
191,2019377,50164,3,0,3,1,2,3,0,0
192,2019613,52919,5,0,1,3,2,1,0,0
193,2019613,50023,6,1,4,2,3,4,0,0
194,2019614,50051,5,1,2,2,2,2,0,0
195,2019614,50136,1,0,0,1,0,0,0,0
196,2019615,52747,2,0,2,1,1,1,0,0
197,2019615,50080,4,1,3,1,2,3,0,0
198,2019616,52714,8,0,7,2,6,7,0,0
199,2019616,53577,1,0,0,1,0,0,0,0
200,2019617,50147,3,0,3,1,2,3,0,0
201,2019617,52758,10,0,9,2,7,9,0,0
202,2019618,50037,9,2,6,3,3,6,0,0
203,2019618,52280,2,0,1,0,1,0,0,0
204,2019619,50064,1,0,1,0,1,1,0,0
205,2019619,50139,8,2,4,3,3,4,0,0
206,2019620,50109,6,1,3,3,2,3,0,0
207,2019620,50124,4,1,3,2,1,2,0,0
208,2019621,50080,6,0,6,3,3,5,0,0
209,2019621,52747,4,0,4,2,2,3,0,0
210,2019622,53577,2,0,2,0,2,2,0,0
211,2019622,52714,10,3,5,4,2,5,0,0
212,2019623,50023,3,1,2,2,0,2,0,0
213,2019623,52919,6,0,5,3,3,5,0,0
214,2019624,50136,9,0,8,4,5,8,0,0
215,2019624,50051,4,0,3,1,3,1,0,0
216,2019625,50139,4,0,3,1,3,3,0,0
217,2019625,50064,1,0,1,1,0,1,0,0
218,2019626,50124,7,2,5,2,3,4,0,0
219,2019626,50109,4,0,3,1,3,3,0,0
220,2019627,52758,5,1,4,2,2,2,0,0
221,2019627,50147,5,0,5,0,5,5,0,0
222,2019628,52280,5,0,5,0,5,5,0,0
223,2019628,50037,8,1,4,3,4,4,0,0
224,2019629,50124,8,0,8,2,6,8,0,0
225,2019629,53577,1,0,1,0,1,1,0,0
226,2019630,52758,7,0,7,1,6,7,0,0
227,2019630,50023,1,0,1,0,1,1,0,0
228,2019631,50037,8,1,6,2,5,4,0,0
229,2019631,50051,4,0,3,1,3,3,0,0
230,2019632,50139,5,1,4,1,3,4,0,0
231,2019632,50080,8,0,7,3,5,7,0,0
232,2019633,50051,7,1,5,2,4,3,0,0
233,2019633,50037,10,1,9,2,7,7,0,0
234,2019634,50080,13,0,11,4,9,11,0,0
235,2019634,50139,4,1,3,0,3,3,0,0
236,2019635,53577,7,0,6,2,5,6,0,0
237,2019635,50124,1,0,1,1,0,1,0,0
238,2019636,50023,5,0,5,2,3,5,0,0
239,2019636,52758,3,1,2,1,1,2,0,0
240,2019637,50023,7,1,5,1,5,5,0,0
241,2019637,50139,3,1,2,2,0,2,0,0
242,2019638,50051,9,1,8,1,7,8,0,0
243,2019638,50124,3,0,3,1,2,3,0,0
244,2019639,50124,7,1,5,4,2,3,0,0
245,2019639,50051,8,0,7,1,7,6,0,0
246,2019640,50139,6,0,6,1,5,6,0,0
247,2019640,50023,8,2,3,4,2,3,0,0
248,2019641,50139,1,0,1,0,1,1,0,0
249,2019641,50051,1,0,1,0,1,1,0,0
250,2021587,50147,3,0,3,2,1,3,0,0
251,2021587,54266,4,0,4,1,3,4,0,0
252,2021588,52682,7,0,4,3,3,4,0,0
253,2021588,59856,3,1,2,0,2,2,0,0
254,2021589,50037,13,2,9,5,6,8,0,0
255,2021589,50074,1,0,0,1,0,0,0,0
256,2021590,50050,3,1,3,0,2,3,0,0
257,2021590,52747,4,0,1,1,3,1,0,0
258,2021591,52914,7,2,1,2,2,1,0,0
259,2021591,60609,2,0,2,1,1,2,0,0
260,2021592,50137,5,0,3,2,3,1,0,0
261,2021592,50124,7,0,5,5,2,5,0,0
262,2021593,50080,6,0,6,2,4,6,0,0
263,2021593,50139,4,0,3,2,2,3,0,0
264,2021594,2610,4,0,3,1,3,3,0,0
265,2021594,50149,1,0,1,0,1,1,0,0
266,2021595,57490,7,0,6,3,4,6,0,0
267,2021595,50068,1,0,0,1,0,0,0,0
268,2021596,7889,10,1,7,4,5,4,0,0
269,2021596,52714,3,1,2,2,0,1,0,0
270,2021597,52749,3,0,3,1,2,3,0,0
271,2021597,52919,7,0,3,4,3,1,0,0
272,2021598,52707,0,0,0,0,0,0,0,0
273,2021598,50136,11,1,9,3,7,8,0,0
274,2021599,2603790,5,0,5,1,4,5,0,0
275,2021599,50023,4,0,3,3,1,3,0,0
276,2021600,50064,11,1,10,3,7,9,0,0
277,2021600,50157,3,0,3,0,3,3,0,0
278,2021601,50051,9,3,5,2,4,5,0,0
279,2021601,50118,1,1,0,0,0,0,0,0
280,2021602,1652,2,0,1,2,0,1,0,0
281,2021602,52758,8,1,7,3,4,6,0,0
282,2021603,52714,14,4,4,7,3,1,0,0
283,2021603,57490,4,2,2,0,2,1,0,0
284,2021604,50068,2,0,2,1,1,2,0,0
285,2021604,7889,5,0,4,3,2,4,0,0
286,2021605,50136,5,0,5,1,4,5,0,0
287,2021605,52749,2,0,2,1,1,2,0,0
288,2021606,52919,2,0,2,1,1,2,0,0
289,2021606,52707,3,0,1,3,0,1,0,0
290,2021607,50157,3,0,3,1,2,3,0,0
291,2021607,2603790,6,0,6,1,5,4,0,0
292,2021608,50023,8,0,6,2,6,6,0,0
293,2021608,50064,4,1,2,1,2,2,0,0
294,2021609,52758,7,0,7,3,4,6,0,0
295,2021609,50051,6,1,4,2,3,4,0,0
296,2021610,50118,5,0,5,1,4,5,0,0
297,2021610,1652,6,0,4,2,4,4,0,0
298,2021611,59856,0,0,0,0,0,0,0,0
299,2021611,50147,3,0,3,1,2,1,0,0
300,2021612,54266,3,0,2,3,0,2,0,0
301,2021612,52682,7,1,5,1,5,5,0,0
302,2021613,52747,1,0,1,1,0,1,0,0
303,2021613,50037,18,1,16,1,16,16,0,0
304,2021614,50074,3,0,2,0,2,2,0,0
305,2021614,50050,1,0,1,0,1,1,0,0
306,2021615,50124,3,0,3,1,2,2,0,0
307,2021615,52914,4,0,3,2,2,3,0,0
308,2021616,60609,4,1,3,1,2,2,0,0
309,2021616,50137,9,2,7,5,2,7,0,0
310,2021617,50149,3,0,1,2,1,1,0,0
311,2021617,50080,4,1,3,1,2,3,0,0
312,2021618,50139,11,2,9,4,5,8,0,0
313,2021618,2610,3,0,1,1,2,1,0,0
314,2021619,50068,0,0,0,0,0,0,0,0
315,2021619,52714,9,0,9,4,5,3,0,0
316,2021620,57490,0,0,0,0,0,0,0,0
317,2021620,7889,9,1,5,6,2,5,0,0
318,2021621,52919,5,0,1,3,1,1,0,0
319,2021621,50136,4,0,4,3,1,2,0,0
320,2021622,52749,2,0,1,2,0,1,0,0
321,2021622,52707,4,0,3,2,2,3,0,0
322,2021623,50023,6,0,5,1,5,5,0,0
323,2021623,50157,6,0,4,4,2,4,0,0
324,2021624,2603790,7,2,4,4,1,4,0,0
325,2021624,50064,2,0,2,1,1,2,0,0
326,2021625,50118,2,0,2,0,2,2,0,0
327,2021625,52758,11,1,10,3,7,10,0,0
328,2021626,50051,9,0,7,3,6,7,0,0
329,2021626,1652,8,0,8,2,6,8,0,0
330,2021627,54266,1,0,1,0,1,1,0,0
331,2021627,59856,3,0,3,1,2,3,0,0
332,2021628,50147,6,0,6,1,5,6,0,0
333,2021628,52682,9,1,7,0,8,7,1,1
334,2021629,50074,6,0,5,0,6,5,0,0
335,2021629,52747,1,0,0,1,0,0,0,0
336,2021630,50037,12,2,9,2,8,9,0,0
337,2021630,50050,3,0,3,0,3,3,0,0
338,2021631,60609,2,1,1,0,1,1,0,0
339,2021631,50124,5,0,5,1,4,5,0,0
340,2021632,52914,1,0,0,1,0,0,0,0
341,2021632,50137,3,0,3,2,1,3,0,0
342,2021633,50139,13,2,9,3,8,7,0,0
343,2021633,50149,0,0,0,0,0,0,0,0
344,2021634,50080,8,1,6,3,4,5,0,0
345,2021634,2610,3,1,3,1,1,2,0,0
346,2021635,59856,5,0,5,2,3,5,0,0
347,2021635,54266,2,0,2,1,1,2,0,0
348,2021636,52682,4,0,4,2,2,4,0,0
349,2021636,50147,6,0,5,4,2,5,0,0
350,2021637,52747,7,4,3,2,1,3,0,0
351,2021637,50074,3,1,3,0,2,3,0,0
352,2021638,50050,5,0,4,1,4,4,0,0
353,2021638,50037,4,0,4,2,2,4,0,0
354,2021639,50124,12,1,11,2,9,11,0,0
355,2021639,60609,2,1,1,1,0,0,0,0
356,2021640,50137,5,0,4,1,4,4,0,0
357,2021640,52914,3,2,1,0,1,1,0,0
358,2021641,50149,3,1,2,0,2,2,0,0
359,2021641,50139,7,0,6,2,5,6,0,0
360,2021642,2610,4,0,4,1,3,4,0,0
361,2021642,50080,12,0,10,8,4,10,0,0
362,2021643,52714,8,1,8,3,4,2,0,0
363,2021643,50068,1,0,0,1,0,0,0,0
364,2021644,7889,17,1,11,6,9,11,0,0
365,2021644,57490,2,0,2,2,0,2,0,0
366,2021645,50136,4,0,3,2,2,3,0,0
367,2021645,52919,6,2,1,3,1,1,0,0
368,2021646,52707,9,1,8,4,4,8,0,0
369,2021646,52749,3,0,3,2,1,3,0,0
370,2021647,50157,8,1,6,4,3,6,1,0
371,2021647,50023,3,0,3,1,2,3,0,0
372,2021648,50064,3,0,3,0,3,3,0,0
373,2021648,2603790,5,2,2,2,1,2,0,0
374,2021649,52758,9,0,9,2,7,9,0,0
375,2021649,50118,1,0,1,1,0,1,0,0
376,2021650,1652,1,0,1,1,0,1,0,0
377,2021650,50051,11,0,8,4,7,7,0,0
378,2021651,50068,4,0,4,4,0,4,0,0
379,2021651,57490,0,0,0,0,0,0,0,0
380,2021652,52714,6,0,6,5,1,0,0,0
381,2021652,7889,7,1,6,1,5,1,0,0
382,2021653,52919,6,0,2,5,1,0,0,0
383,2021653,52749,4,0,4,3,1,2,0,0
384,2021654,50136,7,0,7,3,4,7,0,0
385,2021654,52707,4,1,2,2,1,2,0,0
386,2021655,50023,6,0,5,4,2,5,0,0
387,2021655,2603790,5,0,5,1,4,5,0,0
388,2021656,50157,7,0,7,6,1,7,0,0
389,2021656,50064,0,0,0,0,0,0,0,0
390,2021657,50118,4,0,4,2,2,4,0,0
391,2021657,50051,5,1,2,3,1,2,0,0
392,2021658,52758,8,0,8,2,6,8,0,0
393,2021658,1652,10,1,6,3,5,6,0,0
394,2021659,54266,5,0,5,2,3,5,0,0
395,2021659,50147,5,0,4,3,2,4,0,0
396,2021660,59856,4,0,4,0,4,4,0,0
397,2021660,52682,6,0,6,3,3,6,0,0
398,2021661,50074,2,0,2,0,2,2,0,0
399,2021661,50037,2,0,1,2,0,1,0,0
400,2021662,52747,5,3,2,0,2,2,0,0
401,2021662,50050,2,1,1,0,1,1,0,0
402,2021663,60609,0,0,0,0,0,0,0,0
403,2021663,52914,5,1,2,1,3,2,0,0
404,2021664,50124,4,1,3,2,1,3,0,0
405,2021664,50137,2,0,1,1,1,1,0,0
406,2021665,50139,2,0,2,0,2,2,0,0
407,2021665,50080,3,0,3,1,2,3,0,0
408,2021666,50149,6,2,6,2,2,5,0,0
409,2021666,2610,1,0,1,0,1,1,0,0
410,2021667,50147,9,0,8,2,7,8,0,0
411,2021667,59856,3,1,2,0,2,2,0,0
412,2021668,52682,9,1,7,3,5,7,0,0
413,2021668,54266,3,0,2,2,1,2,0,0
414,2021669,50037,4,1,4,1,2,4,0,0
415,2021669,52747,4,0,4,4,0,4,0,0
416,2021670,50050,4,1,2,2,1,2,0,0
417,2021670,50074,2,0,2,1,1,2,0,0
418,2021671,52914,10,4,3,3,3,3,0,0
419,2021671,50124,5,1,4,2,2,4,0,0
420,2021672,50137,14,3,9,3,8,9,0,0
421,2021672,60609,0,0,0,0,0,0,0,0
422,2021673,50080,4,1,3,1,2,2,0,0
423,2021673,50149,1,0,1,0,1,1,0,0
424,2021674,2610,5,1,5,2,2,5,0,0
425,2021674,50139,4,0,4,2,2,4,0,0
426,2021675,57490,1,0,1,1,0,0,0,0
427,2021675,52714,9,1,7,2,6,6,0,0
428,2021676,7889,4,0,1,2,1,1,0,0
429,2021676,50068,2,0,2,0,2,2,0,0
430,2021677,52749,5,0,4,3,2,4,0,0
431,2021677,50136,5,0,4,4,1,4,0,0
432,2021678,52707,2,0,2,1,1,1,0,0
433,2021678,52919,6,2,2,3,1,2,0,0
434,2021679,2603790,10,2,8,2,6,8,0,0
435,2021679,50157,5,1,3,0,3,4,0,0
436,2021680,50064,5,1,4,0,4,4,0,0
437,2021680,50023,3,0,3,0,3,3,0,0
438,2021681,50051,9,2,7,1,6,7,0,0
439,2021681,52758,3,1,2,0,2,2,0,0
440,2021682,1652,9,1,5,5,3,5,0,0
441,2021682,50118,2,1,1,0,1,1,0,0
442,2021683,50139,5,0,5,3,2,5,0,0
443,2021683,1652,5,0,4,2,3,4,0,0
444,2021684,59856,3,1,2,1,1,1,0,0
445,2021684,52919,6,3,3,3,0,2,0,0
446,2021685,52914,3,1,1,1,1,1,0,0
447,2021685,50080,4,1,3,0,3,3,0,0
448,2021686,50037,6,0,5,2,4,5,0,0
449,2021686,50157,3,0,3,2,1,3,0,0
450,2021687,50064,6,0,5,0,6,5,0,0
451,2021687,7889,1,0,1,0,1,1,0,0
452,2021688,52714,12,1,11,1,10,5,0,0
453,2021688,52682,4,1,3,0,3,2,0,0
454,2021689,50051,11,0,8,3,7,7,0,0
455,2021689,52747,4,0,4,2,2,4,0,0
456,2021690,52707,8,3,4,3,2,4,0,0
457,2021690,50137,9,2,7,2,5,7,0,0
458,2021691,50080,4,0,4,1,3,4,0,0
459,2021691,52914,6,1,4,2,3,3,0,0
460,2021692,50157,4,1,1,3,0,1,0,0
461,2021692,50037,4,0,4,0,4,4,0,0
462,2021693,1652,6,1,6,0,5,6,0,0
463,2021693,50139,1,0,1,0,1,1,0,0
464,2021694,52919,5,0,2,3,2,0,0,0
465,2021694,59856,0,0,0,0,0,0,0,0
466,2021695,52747,7,0,5,3,4,5,0,0
467,2021695,50051,8,2,4,4,2,3,0,0
468,2021696,50137,2,0,1,0,2,0,0,0
469,2021696,52707,6,0,5,2,4,3,0,0
470,2021697,7889,1,0,1,1,0,1,0,0
471,2021697,50064,3,1,2,1,1,1,0,0
472,2021698,52682,5,0,4,1,4,4,0,0
473,2021698,52714,3,0,1,2,1,1,0,0
474,2021699,50080,10,2,6,4,4,1,0,0
475,2021699,50137,7,4,3,1,2,1,0,0
476,2021700,52714,3,0,3,1,2,3,0,0
477,2021700,50037,6,0,6,1,5,5,0,0
478,2021701,50139,5,0,5,1,4,5,0,0
479,2021701,50051,6,1,3,2,3,3,0,0
480,2021702,7889,0,0,0,0,0,0,0,0
481,2021702,52919,8,1,7,2,5,7,0,0
482,2021703,50051,7,1,4,1,4,4,0,0
483,2021703,50139,3,0,3,3,0,3,0,0
484,2021704,52919,9,1,6,4,4,5,0,0
485,2021704,7889,2,0,1,2,0,1,0,0
486,2021705,50137,6,1,4,3,2,4,0,0
487,2021705,50080,3,1,2,1,1,2,0,0
488,2021706,50037,9,1,7,2,6,7,0,0
489,2021706,52714,1,0,1,0,1,1,0,0
490,2021707,7889,7,0,5,2,5,4,0,0
491,2021707,50137,4,0,4,0,4,3,0,0
492,2021708,50037,10,0,9,4,6,7,0,0
493,2021708,50051,3,0,3,1,2,3,0,0
494,2021709,50051,6,1,2,2,3,2,0,0
495,2021709,50037,11,0,11,3,8,8,0,0
496,2021710,50137,7,0,6,1,6,5,0,0
497,2021710,7889,3,0,2,2,1,2,0,0
498,2021711,50051,9,2,3,5,2,3,0,0
499,2021711,7889,5,0,5,0,5,3,0,0
500,2025053,50043,4,0,4,0,4,3,0,0
501,2025053,52758,6,1,5,1,4,3,0,0
502,2025054,50023,4,0,4,1,3,4,0,0
503,2025054,50124,6,0,5,2,4,5,0,0
504,2025055,50080,8,2,2,3,3,0,0,0
505,2025055,50062,1,0,0,1,0,0,0,0
506,2025056,50138,8,1,5,1,6,5,0,0
507,2025056,1652,4,1,3,2,1,3,0,0
508,2025057,7889,13,0,9,5,8,0,1,1
509,2025057,52747,1,0,0,1,0,0,0,0
510,2025058,50069,8,2,6,2,4,6,0,0
511,2025058,50136,8,0,7,3,5,6,0,0
512,2025059,50067,7,0,5,3,4,5,0,0
513,2025059,53065,6,0,4,3,3,4,0,0
514,2025060,57388,7,0,5,4,3,0,0,0
515,2025060,50064,3,0,2,1,2,0,0,0
516,2025061,50143,13,2,11,4,7,11,0,0
517,2025061,50129,3,0,3,2,1,3,0,0
518,2025062,50147,5,0,5,1,4,3,0,0
519,2025062,50037,4,0,4,1,3,3,0,0
520,2025063,52707,5,2,1,1,2,1,0,0
521,2025063,2600431,9,0,8,3,6,8,0,0
522,2025064,52919,7,1,5,4,2,0,0,0
523,2025064,5312,1,0,1,0,1,0,0,0
524,2025065,50051,16,0,6,8,8,0,0,0
525,2025065,50137,11,0,8,6,5,0,0,0
526,2025066,64388,5,1,4,2,2,2,0,0
527,2025066,54266,6,0,6,2,4,1,0,0
528,2025067,50031,9,0,9,3,6,9,0,0
529,2025067,52682,7,0,7,4,3,7,0,0
530,2025068,52268,10,2,5,4,4,3,0,0
531,2025068,50139,2,0,2,0,2,2,0,0
532,2025069,50037,9,0,9,2,7,9,0,0
533,2025069,50143,2,0,2,0,2,2,0,0
534,2025070,50129,8,4,4,1,3,4,0,0
535,2025070,50147,4,0,4,0,4,4,0,0
536,2025071,5312,3,0,2,3,0,1,0,0
537,2025071,52707,4,0,4,2,2,1,0,0
538,2025072,2600431,1,0,1,0,1,1,0,0
539,2025072,52919,8,0,6,4,4,4,0,0
540,2025073,54266,4,1,2,1,2,0,0,0
541,2025073,50051,6,1,4,0,5,3,0,0
542,2025074,50137,11,1,9,4,6,9,0,0
543,2025074,64388,1,0,1,1,0,1,0,0
544,2025075,50139,3,0,3,1,2,1,0,0
545,2025075,50031,2,0,2,0,2,0,0,0
546,2025076,52682,11,0,10,3,8,10,0,0
547,2025076,52268,1,0,1,0,1,1,0,0
548,2025077,50124,6,1,6,2,3,2,0,0
549,2025077,50043,4,2,3,0,2,1,0,0
550,2025078,52758,3,0,3,1,2,2,0,0
551,2025078,50023,1,0,1,1,0,1,0,0
552,2025079,1652,3,0,3,0,3,0,0,0
