,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
92,2019328,64500,6,0,6,0,3,3,0,0
93,2019328,50124,12,1,11,4,4,4,2,2
94,2019329,50037,10,3,7,5,5,0,0,0
95,2019329,50062,10,3,7,0,5,4,1,4
96,2019330,2603104,27,4,23,7,15,5,0,1
97,2019330,52280,11,1,10,3,4,4,2,2
98,2019331,59856,16,1,15,2,5,9,2,3
99,2019331,52747,15,1,14,3,11,1,0,1
100,2019332,50157,22,3,19,4,7,11,1,2
101,2019332,50136,11,3,8,5,6,0,0,0
102,2019333,50147,19,5,14,3,10,6,1,1
103,2019333,52723,16,2,14,5,5,6,1,1
104,2019334,52757,11,0,11,2,4,5,1,2
105,2019334,50050,12,1,11,1,10,1,0,0
106,2019335,52919,18,2,16,1,8,9,3,5
107,2019335,50080,19,0,19,6,11,2,1,1
108,2019336,50124,11,0,11,2,7,2,1,2
109,2019336,64500,9,1,8,0,4,4,1,2
110,2019337,50062,9,0,9,1,1,7,1,6
111,2019337,50037,9,0,9,2,6,1,1,1
112,2019338,50023,18,5,13,0,14,4,0,0
113,2019338,54266,12,3,9,1,6,5,0,1
114,2019339,1652,13,1,12,2,7,4,1,1
115,2019339,50109,12,1,11,2,3,7,1,1
116,2019340,52758,21,3,18,3,15,3,1,2
117,2019340,50149,10,2,8,3,4,3,0,0
118,2019341,50146,17,1,16,5,10,2,2,2
119,2019341,50051,11,1,10,3,5,3,1,1
120,2019342,52709,21,4,17,2,11,8,1,1
121,2019342,53577,5,2,3,0,2,3,0,0
122,2019343,50064,18,1,17,3,11,4,1,2
123,2019343,50043,17,1,16,3,8,6,0,0
124,2019344,52714,12,0,12,6,5,1,0,1
125,2019344,50164,17,7,10,4,5,8,0,2
126,2019345,50139,23,2,21,4,4,15,4,4
127,2019345,5312,16,2,14,6,5,5,2,2
128,2019346,54266,13,2,11,3,8,2,0,0
129,2019346,50109,17,2,15,1,5,11,3,3
130,2019347,50023,16,3,13,1,5,10,1,1
131,2019347,1652,10,0,10,2,7,1,2,2
132,2019348,50149,10,0,10,0,7,3,2,2
133,2019348,50051,18,2,16,1,14,3,2,3
134,2019349,52758,15,3,12,4,10,1,1,1
135,2019349,50146,18,7,11,0,11,7,1,2
136,2019350,53577,10,2,8,4,1,5,0,0
137,2019350,50043,7,1,6,2,3,2,0,0
138,2019351,52709,14,1,13,1,4,9,0,0
139,2019351,50064,15,0,15,3,9,3,0,2
140,2019352,50164,17,1,16,3,8,6,2,2
141,2019352,5312,10,1,9,1,7,2,2,2
142,2019353,52714,19,1,18,3,5,11,1,3
143,2019353,50139,17,3,14,1,13,3,0,1
144,2019354,52280,10,2,8,5,2,3,0,0
145,2019354,52747,15,4,11,4,5,6,0,0
146,2019355,2603104,31,1,30,12,9,9,2,2
147,2019355,59856,18,6,12,5,7,5,2,2
148,2019356,50136,17,2,15,5,9,3,2,2
149,2019356,52723,24,3,21,7,13,4,2,2
150,2019357,50157,14,2,12,5,5,4,0,1
151,2019357,50147,20,5,15,0,7,13,3,3
152,2019358,50050,13,0,13,2,5,6,1,1
153,2019358,50080,19,1,18,5,6,8,0,0
154,2019359,52757,12,2,10,2,2,8,0,2
155,2019359,52919,15,0,15,3,10,2,1,1
156,2019360,64500,11,3,8,0,3,8,1,3
157,2019360,50037,9,0,9,2,7,0,1,2
158,2019361,50124,8,0,8,1,5,2,0,0
159,2019361,50062,7,2,5,1,3,3,1,2
160,2019362,52747,19,0,19,9,9,1,2,2
161,2019362,2603104,13,2,11,2,7,4,0,0
162,2019363,59856,14,1,13,0,13,1,1,4
163,2019363,52280,11,2,9,3,4,4,0,0
164,2019364,52723,8,0,8,0,6,2,2,1
165,2019364,50157,15,1,14,4,4,7,1,1
166,2019365,50147,15,6,9,3,8,4,0,2
167,2019365,50136,15,0,15,2,8,5,1,2
168,2019366,50080,8,1,7,2,5,1,0,0
169,2019366,52757,8,0,8,3,3,2,0,0
170,2019367,52919,19,3,16,6,8,5,0,1
171,2019367,50050,13,1,12,1,9,3,0,0
172,2019368,50037,10,1,9,1,5,4,1,1
173,2019368,50124,11,0,11,1,3,7,3,5
174,2019369,50062,9,0,9,4,2,3,0,0
175,2019369,64500,12,0,12,0,3,8,1,1
176,2019370,50109,11,1,10,2,2,7,0,1
177,2019370,50023,22,3,19,7,10,5,2,2
178,2019371,1652,15,0,15,4,9,2,1,1
179,2019371,54266,11,4,7,1,4,6,0,0
180,2019372,50051,15,0,15,2,9,4,2,3
