,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
539,2025072,52919,13,1,12,0,11,2,2,1
540,2025073,54266,8,2,6,0,1,7,1,1
541,2025073,50051,14,0,14,2,9,3,1,2
542,2025074,50137,10,3,7,5,4,1,0,1
543,2025074,64388,16,4,12,2,8,6,0,0
544,2025075,50139,14,0,14,3,9,2,3,1
545,2025075,50031,13,5,8,2,4,6,0,1
546,2025076,52682,15,0,15,3,10,2,0,0
547,2025076,52268,20,4,16,4,10,6,0,0
548,2025077,50124,7,1,6,2,2,3,0,0
549,2025077,50043,11,4,7,3,4,4,1,1
550,2025078,52758,10,2,8,3,5,2,1,1
551,2025078,50023,12,2,10,4,5,4,1,1
552,2025079,1652,13,3,10,3,7,3,0,1
553,2025079,50080,25,7,18,6,13,6,0,0
554,2025080,50062,14,1,13,2,9,4,3,0
555,2025080,50138,13,1,12,0,9,4,1,0
556,2025081,50136,10,1,9,4,3,2,0,2
557,2025081,7889,19,5,14,1,15,3,0,0
558,2025082,52747,17,1,16,9,5,3,1,0
559,2025082,50069,15,3,12,2,6,7,0,0
560,2025083,50064,24,4,20,8,11,5,0,1
561,2025083,50067,23,3,20,1,5,17,2,3
562,2025084,53065,13,1,12,0,8,5,0,1
563,2025084,57388,15,0,15,2,7,6,4,2
564,2025085,50129,8,0,8,1,3,4,2,1
565,2025085,50037,10,0,10,1,6,3,1,0
566,2025086,50143,19,0,19,5,13,2,1,0
567,2025086,50147,23,3,20,2,6,14,0,0
568,2025087,2600431,7,2,5,1,6,0,1,1
569,2025087,5312,19,4,15,1,15,3,1,1
570,2025088,52707,19,3,16,5,8,6,3,3
571,2025088,52919,6,0,6,1,3,2,1,1
572,2025089,50137,15,3,12,1,9,5,1,0
573,2025089,54266,8,2,6,0,5,3,0,1
574,2025090,50051,10,0,10,5,3,2,1,1
575,2025090,64388,14,2,12,2,8,4,0,0
576,2025091,52682,16,0,16,4,5,7,4,5
577,2025091,50139,19,3,16,4,11,4,0,0
578,2025092,50031,25,8,17,2,11,12,1,0
579,2025092,52268,23,4,19,5,11,7,0,0
580,2025093,52758,15,2,13,1,13,1,0,0
581,2025093,50124,9,0,9,1,4,4,1,0
582,2025094,50043,12,2,10,3,4,5,3,2
583,2025094,50023,19,5,14,0,7,12,2,2
584,2025095,50062,17,2,15,0,9,8,2,0
585,2025095,1652,13,3,10,3,7,3,2,0
586,2025096,50080,22,0,22,8,9,5,0,0
587,2025096,50138,15,1,14,5,6,4,0,0
588,2025097,52747,17,2,15,6,10,1,1,1
589,2025097,50136,14,4,10,2,5,7,0,0
590,2025098,7889,21,2,19,6,11,4,3,3
591,2025098,50069,14,4,10,1,8,5,1,2
592,2025099,53065,16,2,14,2,3,11,2,2
593,2025099,50064,15,1,14,4,5,6,1,1
594,2025100,50067,17,2,15,1,12,4,1,1
595,2025100,57388,13,2,11,4,5,4,0,0
596,2025101,50124,7,0,7,2,1,4,1,1
597,2025101,52758,10,1,9,4,5,1,0,0
598,2025102,50023,14,1,13,5,9,0,1,0
599,2025102,50043,15,0,15,6,8,1,0,0
600,2025103,1652,18,1,17,5,10,3,0,0
601,2025103,50062,14,0,14,0,4,10,5,4
602,2025104,50138,9,0,9,3,3,3,1,1
603,2025104,50080,13,2,11,2,4,7,0,0
604,2025105,50136,14,0,14,4,8,2,0,0
605,2025105,52747,14,1,13,5,6,3,1,1
606,2025106,50069,13,4,9,3,6,4,0,0
607,2025106,7889,8,0,8,1,5,2,0,0
608,2025107,50064,16,1,15,2,8,6,0,0
609,2025107,53065,19,2,17,4,9,6,2,1
610,2025108,57388,18,2,16,0,10,8,1,1
611,2025108,50067,21,6,15,4,13,4,0,2
612,2025109,50037,13,0,13,2,6,5,2,2
613,2025109,50129,19,6,13,2,7,10,0,0
614,2025110,50147,16,2,14,5,5,6,2,2
615,2025110,50143,19,1,18,5,8,6,1,2
616,2025111,5312,18,3,15,5,9,4,3,3
617,2025111,2600431,10,3,7,2,6,2,3,3
618,2025112,52919,3,0,3,2,1,0,0,0
619,2025112,52707,19,4,15,5,10,4,0,0
620,2025113,54266,17,1,16,3,6,8,1,1
621,2025113,50137,15,0,15,2,7,6,2,2
622,2025114,64388,19,6,13,2,6,11,2,0
623,2025114,50051,14,3,11,4,10,0,2,2
624,2025115,50139,17,0,17,5,7,5,2,4
625,2025115,52682,15,0,15,3,5,7,2,2
626,2025116,52268,30,4,26,4,17,9,4,3
627,2025116,50031,20,4,16,3,10,7,1,1
628,2025117,50129,13,2,11,1,2,10,0,2
629,2025117,50143,18,1,17,7,9,2,3,2
630,2025118,50037,9,1,8,3,4,2,3,1
631,2025118,50147,15,3,12,5,5,5,1,1
632,2025119,2600431,11,0,11,2,8,1,0,0
633,2025119,52707,22,4,18,5,10,7,0,1
634,2025120,5312,13,2,11,6,5,2,0,0
635,2025120,52919,6,1,5,1,4,1,1,1
636,2025121,50137,17,5,12,4,8,5,0,1
637,2025121,50051,14,0,14,7,5,2,1,0
638,2025122,54266,18,3,15,2,6,10,0,0
639,2025122,64388,15,1,14,3,7,5,0,0
640,2025123,52682,20,1,19,5,10,5,2,4
641,2025123,50031,21,7,14,1,3,17,0,0
642,2025124,50139,14,0,14,2,8,4,2,2
643,2025124,52268,19,1,18,3,12,4,1,2
644,2025125,52758,6,0,6,2,4,0,1,1
645,2025125,50043,8,1,7,1,4,3,1,1
646,2025126,50124,15,1,14,2,10,3,1,1
647,2025126,50023,17,4,13,1,14,2,3,3
648,2025127,50062,12,1,11,2,6,4,1,1
649,2025127,50080,16,1,15,3,8,5,0,0
650,2025128,1652,13,1,12,0,7,6,1,0
651,2025128,50138,18,0,18,5,8,5,0,0
652,2025129,52747,21,1,20,8,9,4,2,1
653,2025129,7889,18,4,14,0,10,8,2,2
654,2025130,50136,20,4,16,1,13,6,0,0
655,2025130,50069,9,1,8,2,5,2,0,1
656,2025131,53065,12,0,12,1,8,3,0,0
657,2025131,50067,24,0,24,2,19,3,2,2
658,2025132,50064,18,2,16,3,10,5,0,0
659,2025132,57388,13,2,11,1,6,6,0,0
660,2025133,50043,9,1,8,1,5,3,2,2
661,2025133,50124,14,0,14,4,7,3,1,3
662,2025134,50023,16,4,12,2,11,3,2,1
663,2025134,52758,12,2,10,3,7,2,0,0
664,2025135,50080,20,1,19,5,8,7,2,2
665,2025135,1652,13,4,9,3,8,1,1,2
666,2025136,50138,21,3,18,6,11,4,2,0
667,2025136,50062,16,1,15,2,2,11,0,1
668,2025137,7889,10,3,7,0,6,4,1,0
669,2025137,50136,21,3,18,5,13,3,0,0
670,2025138,50069,15,2,13,1,11,3,1,1
671,2025138,52747,25,6,19,9,13,3,0,0
672,2025139,50067,17,2,15,1,12,4,2,1
673,2025139,50064,16,2,14,2,8,6,0,0
674,2025140,57388,16,1,15,2,10,3,2,2
675,2025140,53065,19,3,16,5,6,8,1,1
676,2025141,50143,16,2,14,1,8,7,0,1
677,2025141,50037,14,1,13,1,8,5,0,0
678,2025142,50147,16,2,14,1,10,5,4,5
679,2025142,50129,9,0,9,4,5,0,0,0
680,2025143,52707,18,4,14,7,8,3,0,0
681,2025143,5312,10,0,10,1,4,5,0,0
682,2025144,52919,19,5,14,1,13,5,2,2
683,2025144,2600431,12,2,10,1,8,3,1,1
684,2025145,50051,16,1,15,8,7,1,0,0
685,2025145,54266,10,0,10,2,4,4,1,1
686,2025146,64388,19,2,17,1,9,9,2,1
687,2025146,50137,17,2,15,5,10,2,2,1
688,2025147,50031,10,2,8,2,5,3,0,0
689,2025147,50139,20,0,20,4,13,3,3,2
690,2025148,52268,25,1,24,4,14,7,0,1
691,2025148,52682,11,3,8,2,7,2,0,0
