field1,Knockout,OnTarget_%,Short_%,Succ_Ratio,OppTackles_Successful%,Opp_Aggressiveness,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,dummy_away,bad_weather,Win_Pr(),Btts_Pr(),Goals_Proxy
152,-0.704078472704922,-0.7287905688430407,-1.059111636368993,-1.5590415312242274,0.44690031439003663,-0.6546536707079771,-2.3324219842013076,-0.7460681440025372,-0.33711697942070756,1,-1,-0.3986732965110573,1.5243927971304205,-2.069241632331254,Mid
141,-0.704078472704922,0.5292887845730776,-0.797118820014903,-0.23679649798910662,-0.8109489025407451,1.5275252316519465,0.4769528045377806,0.4207050928200186,-0.33711697942070756,1,-1,-0.3986732965110573,1.0120512698457726,-1.1307871994309362,Mid
47,-0.704078472704922,-2.5372796393787125,-1.6485954731656967,1.614346548540062,0.5775859473179114,-0.6546536707079771,-0.7295271660863676,-0.2793588492735149,-0.007072384183651184,1,-1,-0.3986732965110573,1.6472576373228514,-1.7684427898343875,Mid
157,-0.704078472704922,0.5292887845730776,-0.797118820014903,-0.23679649798910662,-0.04725473511848422,1.5275252316519465,-0.10094096290403823,-0.2793588492735149,-0.17209468180217938,1,-1,-0.3986732965110573,0.20954167554446257,-0.42880258407514715,Mid
106,-0.704078472704922,0.3657384686289824,-1.7507726715437921,-0.46056104207505,-0.8773570910122459,1.5275252316519465,-0.7295271660863676,0.4207050928200186,0.6530168062904617,1,-1,-0.3986732965110573,-1.2564046234991728,-0.24861705932390474,Mid
88,-0.704078472704922,-2.026184902053414,0.39494849439620877,-0.765694511283155,1.5388793049123648,1.5275252316519465,0.38877154422638055,0.18735044545550744,-0.17209468180217938,1,-1,-0.3986732965110573,0.4422020201108088,-0.24861705932390474,Mid
165,-0.704078472704922,0.0482584435610324,-0.897292543914996,0.027652508657917355,-0.3409832610501229,-0.6546536707079771,0.38877154422638055,0.8874143875490409,-0.007072384183651184,1,-1,-0.3986732965110573,0.12764523425710844,0.5916712051410258,Mid
75,1.420296229421998,0.34343615281842377,1.3702762970962086,-1.030143517930179,-1.4540597803700173,1.5275252316519465,-1.3811104254826851,0.4207050928200186,1.3131059967645744,1,-1,-0.3986732965110573,0.8447247485752819,-0.09256352449470262,Mid
24,-0.704078472704922,0.08726090364309023,-0.3368611696631221,0.5565505219519655,1.1904565017382827,1.5275252316519465,-0.017129469146394627,-0.512713496638026,0.8180391039089898,1,-1,-0.3986732965110573,0.0029560578826684884,0.5185468828898792,Mid
17,-0.704078472704922,-1.7195280596582352,-0.37138049343950585,-0.17068424632735058,1.1329998872613727,1.5275252316519465,0.6952682277935783,0.4207050928200186,0.983061401527518,1,-1,-0.3986732965110573,0.19549081551967143,0.13551471871720638,Mid
20,-0.704078472704922,0.7070608671210069,-1.5375333010155932,-1.5590415312242274,-0.3409832610501229,-0.6546536707079771,-0.3955907456457552,-0.512713496638026,0.6530168062904617,1,-1,-0.3986732965110573,0.9024314141715659,-0.42880258407514715,Mid
8,-0.704078472704922,-0.05481948665583481,-1.7702349950443814,-1.1263067930745514,1.1329998872613727,1.5275252316519465,0.6952682277935783,0.4207050928200186,0.983061401527518,1,-1,-0.3986732965110573,0.9024314141715659,-0.5448542779827277,High
27,-0.704078472704922,0.38326171676584997,-0.553839776257533,-0.8790297998461654,1.6328724332104887,-0.6546536707079771,0.3390693793235919,-0.046004201909003714,2.1382174848572153,1,-1,-0.3986732965110573,0.0029560578826684884,0.13551471871720638,High
19,-0.704078472704922,-0.4929006900775189,-2.074333799741094,-0.1990180684681033,-0.11668147761141695,-0.6546536707079771,-0.7295271660863676,-0.9794227913670484,0.32297221105340523,1,-1,-0.3986732965110573,1.6113293540740923,-0.42880258407514715,High
36,-0.704078472704922,-0.7557494121305299,-1.2836769075296424,0.5234943961210877,-1.183482642746726,1.5275252316519465,-1.3231919135363455,-0.7460681440025372,-0.5021392770392358,1,-1,-0.3986732965110573,1.2419226621117412,0.5185468828898792,High
40,-0.704078472704922,-0.4929006900775189,0.9058344862866851,-0.3690210013126187,1.429220655231219,1.5275252316519465,-2.1355752521521043,-1.2127774387315595,0.15794991343487702,1,-1,-0.3986732965110573,0.9024314141715659,0.5185468828898792,High
41,-0.704078472704922,0.5292887845730776,-1.2836769075296424,-0.765694511283155,0.7164394323037763,-0.6546536707079771,0.5276452402782912,0.6540597401845297,-0.007072384183651184,1,-1,-0.3986732965110573,1.1297578361844707,-0.42880258407514715,High
14,-0.704078472704922,-2.49283661874173,-0.6490359238147654,0.027652508657917355,-1.170334393092397,-0.6546536707079771,-1.620024287261334,-0.512713496638026,-0.17209468180217938,1,-1,-0.3986732965110573,1.4576631155844664,-1.080902578412979,High
34,-0.704078472704922,-1.0039954274028176,-0.797118820014903,0.14098779722092783,0.8642512066435685,1.5275252316519465,-0.16710793166007246,0.4207050928200186,0.32297221105340523,1,-1,-0.3986732965110573,-0.3015175123339864,-0.24861705932390474,High
156,-0.704078472704922,1.1583284612811375,-2.6310685344935356,-0.5012455046361308,-0.16099641962818304,1.5275252316519465,0.7665079974875761,-0.2793588492735149,0.15794991343487702,1,-1,-0.3986732965110573,1.5760695040020538,-1.4402985980196241,High
175,-0.704078472704922,0.7337266795031969,-1.1377094812752204,-1.5590415312242274,1.1904565017382827,1.5275252316519465,-0.017129469146394627,-0.512713496638026,0.8180391039089898,-1,1,-0.3986732965110573,1.184905542265379,0.13551471871720638,High
142,-0.704078472704922,-0.41427073048901175,-0.5351260036608118,0.4009922827478338,-0.985507569380119,1.5275252316519465,0.7970393273564325,1.3541236822780633,0.8180391039089898,1,-1,-0.3986732965110573,1.0503451394279628,-0.09256352449470262,High
140,1.420296229421998,1.0403835218983761,0.0543578331358913,0.5565505219519655,-1.0886558725124762,1.5275252316519465,0.4038328063181353,0.4207050928200186,0.6530168062904617,1,-1,-0.3986732965110573,0.3282321701638158,1.3041800971583979,High
81,-0.704078472704922,0.3906868219085898,0.29969856370476383,0.6226627736137217,-1.21289320118404,1.5275252316519465,-1.2638254387913475,-0.046004201909003714,-0.007072384183651184,1,-1,-0.3986732965110573,-0.18561707922682327,1.1781581162573649,High
91,-0.704078472704922,1.1133970558019892,0.1759973550145757,-1.5590415312242274,-1.2473455696391798,1.5275252316519465,0.4578023288135882,-0.7460681440025372,2.1382174848572153,1,-1,-0.3986732965110573,1.7024455531785179,-1.0303804542510224,High
95,-0.704078472704922,-1.3292375329734614,-1.8808163785704586,0.3449913166343465,-0.8935104341539623,1.5275252316519465,1.436546912447335,0.8874143875490409,1.1480836991460461,1,-1,-0.3986732965110573,1.0120512698457726,-0.3992894377796844,High
98,-0.704078472704922,-0.7287905688430407,-0.797118820014903,1.0854485352460141,-0.24822688444013136,1.5275252316519465,-0.13586241863638973,-0.512713496638026,-0.8321838722762922,1,-1,-0.3986732965110573,0.19549081551967143,1.5658359049613852,High
110,-0.704078472704922,-0.5467001361117607,-0.08008584894055083,-1.2064428556948619,1.0689136634217424,-0.6546536707079771,1.6080277769979192,0.6540597401845297,0.32297221105340523,1,-1,-0.3986732965110573,1.184905542265379,0.9748426537370356,High
111,-0.704078472704922,-1.1062143748678768,-0.9333550845190297,-1.5590415312242274,0.7164394323037763,-0.6546536707079771,0.37939377726359036,0.8874143875490409,1.808172889620159,1,-1,-0.3986732965110573,1.2419226621117412,-0.6298485135375235,High
77,-0.704078472704922,-1.7644046707404564,0.033590109888310564,1.614346548540062,-0.4618315688619982,1.5275252316519465,-9.386123977581752E-4,0.8874143875490409,-0.33711697942070756,1,-1,-0.3986732965110573,0.12764523425710844,0.8567107446837187,High
